笔记官方地址,笔记标题,预估阅读量,点赞数,收藏数,评论数,分享数,发布时间,链接地址,是否商业笔记,报备品牌企业号,提及品牌,是否参与付费推广
https://www.xiaohongshu.com/explore/6a1d7d6f00000000350258df?xhsshare=CopyLink&type=video,ENFP只会反复爱上一种人,41303,998,317,84,232,2026-06-01 20:39:12,--,否,--,--,否
https://www.xiaohongshu.com/explore/6a2bf2bf000000002202c7dc?xhsshare=CopyLink&type=video,如何区分INFP和ISFP,33023,30,6,0,13,2026-06-12 19:51:28,--,否,--,--,否
https://www.xiaohongshu.com/explore/6a16d03f0000000035025c48?xhsshare=CopyLink&type=video,ISTP阴暗面：换大件也很冲动,4030,100,25,3,9,2026-05-27 20:45:51,--,是,瓜子二手车,[瓜子二手车],否
https://www.xiaohongshu.com/explore/6a21749b000000002202e0b7?xhsshare=CopyLink&type=video,INFP的奇怪心理，你中了几个,2395,56,25,3,13,2026-06-04 20:50:35,--,否,--,--,否
https://www.xiaohongshu.com/explore/6a2e748f0000000035027ccc?xhsshare=CopyLink&type=video,INTP的人生说明书,1415,13,7,0,1,2026-06-14 17:29:51,--,否,--,--,否
